"","rank","club","country","points"
"343",343,"Independiente Medellín","Colombia",1478
"344",344,"CSD Municipal","Guatemala",1478
"345",345,"CS Sfaxien","Tunisia",1478
"346",346,"Universidad Católica","Chile",1478
"347",347,"West Brom","England",1478
"348",348,"BG Pathum United","Thailand",1477
"349",349,"FC Infonet Tallinn","Estonia",1476
"350",350,"Pohang Steelers","South Korea",1476
"351",351,"LASK Linz","Austria",1476
"352",352,"Newell's Old Boys","Argentina",1476
"353",353,"San Lorenzo de Almagro","Argentina",1476
"354",354,"Cherno More Varna","Bulgaria",1475
"355",355,"Bolton Wanderers","England",1475
"356",356,"Lecce","Italy",1475
"357",357,"Coritiba","Brazil",1474
"358",358,"Belgrano","Argentina",1474
"359",359,"Neftçi","Azerbaijan",1474
"360",360,"AEL Limassol","Cyprus",1473
"361",361,"CD Santa Clara","Portugal",1473
"362",362,"CA Central Cordoba","Argentina",1473
"363",363,"Montpellier","France",1473
"364",364,"Cardiff City","England",1472
"365",365,"Urawa Red Diamonds","Japan",1472
"366",366,"KS Raków Częstochowa","Poland",1472
"367",367,"Rubin Kazan","Russia",1471
"368",368,"IFK Norrköping","Sweden",1470
"369",369,"Real Zaragoza","Spain",1470
"370",370,"ASEC Mimosas","Ivory Coast",1470
"371",371,"Paide Linnameeskond","Estonia",1470
"372",372,"Hull City","England",1470
"373",373,"Budućnost","Montenegro",1470
"374",374,"Suduva Marijampole","Lithuania",1469
"375",375,"ES Sétif","Algeria",1469
"376",376,"Nasaf Qarshi","Uzbekistan",1469
"377",377,"Blackpool","England",1469
"378",378,"FC Famalicão","Portugal",1469
"379",379,"Sheffield United FC","England",1468
"380",380,"New York City FC","United States",1468
"381",381,"Santa Fe","Colombia",1468
"382",382,"Aucas","Ecuador",1468
"383",383,"Dolphins FC","Nigeria",1468
"384",384,"Elfsborg","Sweden",1468
"385",385,"Darmstadt","Germany",1467
"386",386,"San Martín San Juan","Argentina",1466
"387",387,"FC Milsami Orhei","Moldova",1466
"388",388,"Tenerife","Spain",1465
"389",389,"Spartak Trnava","Slovakia",1465
"390",390,"Pogoń Szczecin","Poland",1465
"391",391,"SC Bastia","France",1464
"392",392,"Angers","France",1464
"393",393,"MP Antalyaspor","Turkey",1464
"394",394,"Viking FK","Norway",1464
"395",395,"Djoliba AC","Mali",1463
"396",396,"Cerezo Osaka","Japan",1463
"397",397,"Ružomberok","Slovakia",1463
"398",398,"Sporting Fingal","Ireland",1463
"399",399,"FK Akhmat Grozny","Russia",1463
"400",400,"Tobol Kostanay","Kazakhstan",1463
"401",401,"Sillamäe Kalev","Estonia",1462
"402",402,"BK Häcken","Sweden",1462
"403",403,"Troyes","France",1462
"404",404,"Auxerre","France",1461
"405",405,"Daegu FC","South Korea",1460
"406",406,"Universitario de Deportes","Peru",1460
"407",407,"Aldosivi","Argentina",1460
"408",408,"Banfield","Argentina",1460
"409",409,"Brasilia","Brazil",1459
